"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Alabama"	"01"	"2003"	"2003"	"Married"	"1"	"0 -  8 years"	"19176"	1503
	"Alabama"	"01"	"2003"	"2003"	"Married"	"1"	"9 - 11 years"	"19177"	3989
	"Alabama"	"01"	"2003"	"2003"	"Married"	"1"	"12 years"	"19178"	10379
	"Alabama"	"01"	"2003"	"2003"	"Married"	"1"	"13 - 15 years"	"19179"	10295
	"Alabama"	"01"	"2003"	"2003"	"Married"	"1"	"16 years and over"	"16+"	12512
	"Alabama"	"01"	"2003"	"2003"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	47
	"Alabama"	"01"	"2003"	"2003"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1150
	"Alabama"	"01"	"2003"	"2003"	"Unmarried"	"2"	"9 - 11 years"	"19177"	6484
	"Alabama"	"01"	"2003"	"2003"	"Unmarried"	"2"	"12 years"	"19178"	8213
	"Alabama"	"01"	"2003"	"2003"	"Unmarried"	"2"	"13 - 15 years"	"19179"	4100
	"Alabama"	"01"	"2003"	"2003"	"Unmarried"	"2"	"16 years and over"	"16+"	803
	"Alabama"	"01"	"2003"	"2003"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	77
	"Alabama"	"01"	"2004"	"2004"	"Married"	"1"	"0 -  8 years"	"19176"	1524
	"Alabama"	"01"	"2004"	"2004"	"Married"	"1"	"9 - 11 years"	"19177"	3851
	"Alabama"	"01"	"2004"	"2004"	"Married"	"1"	"12 years"	"19178"	9774
	"Alabama"	"01"	"2004"	"2004"	"Married"	"1"	"13 - 15 years"	"19179"	10251
	"Alabama"	"01"	"2004"	"2004"	"Married"	"1"	"16 years and over"	"16+"	12234
	"Alabama"	"01"	"2004"	"2004"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	310
	"Alabama"	"01"	"2004"	"2004"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1100
	"Alabama"	"01"	"2004"	"2004"	"Unmarried"	"2"	"9 - 11 years"	"19177"	6731
	"Alabama"	"01"	"2004"	"2004"	"Unmarried"	"2"	"12 years"	"19178"	8431
	"Alabama"	"01"	"2004"	"2004"	"Unmarried"	"2"	"13 - 15 years"	"19179"	4344
	"Alabama"	"01"	"2004"	"2004"	"Unmarried"	"2"	"16 years and over"	"16+"	865
	"Alabama"	"01"	"2004"	"2004"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	95
	"Alabama"	"01"	"2005"	"2005"	"Married"	"1"	"0 -  8 years"	"19176"	1830
	"Alabama"	"01"	"2005"	"2005"	"Married"	"1"	"9 - 11 years"	"19177"	4086
	"Alabama"	"01"	"2005"	"2005"	"Married"	"1"	"12 years"	"19178"	10035
	"Alabama"	"01"	"2005"	"2005"	"Married"	"1"	"13 - 15 years"	"19179"	10026
	"Alabama"	"01"	"2005"	"2005"	"Married"	"1"	"16 years and over"	"16+"	12467
	"Alabama"	"01"	"2005"	"2005"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	430
	"Alabama"	"01"	"2005"	"2005"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1085
	"Alabama"	"01"	"2005"	"2005"	"Unmarried"	"2"	"9 - 11 years"	"19177"	6257
	"Alabama"	"01"	"2005"	"2005"	"Unmarried"	"2"	"12 years"	"19178"	8525
	"Alabama"	"01"	"2005"	"2005"	"Unmarried"	"2"	"13 - 15 years"	"19179"	4561
	"Alabama"	"01"	"2005"	"2005"	"Unmarried"	"2"	"16 years and over"	"16+"	1045
	"Alabama"	"01"	"2005"	"2005"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	106
	"Alabama"	"01"	"2006"	"2006"	"Married"	"1"	"0 -  8 years"	"19176"	2192
	"Alabama"	"01"	"2006"	"2006"	"Married"	"1"	"9 - 11 years"	"19177"	4179
	"Alabama"	"01"	"2006"	"2006"	"Married"	"1"	"12 years"	"19178"	10143
	"Alabama"	"01"	"2006"	"2006"	"Married"	"1"	"13 - 15 years"	"19179"	10266
	"Alabama"	"01"	"2006"	"2006"	"Married"	"1"	"16 years and over"	"16+"	12840
	"Alabama"	"01"	"2006"	"2006"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	449
	"Alabama"	"01"	"2006"	"2006"	"Unmarried"	"2"	"0 -  8 years"	"19176"	1196
	"Alabama"	"01"	"2006"	"2006"	"Unmarried"	"2"	"9 - 11 years"	"19177"	6667
	"Alabama"	"01"	"2006"	"2006"	"Unmarried"	"2"	"12 years"	"19178"	9136
	"Alabama"	"01"	"2006"	"2006"	"Unmarried"	"2"	"13 - 15 years"	"19179"	4862
	"Alabama"	"01"	"2006"	"2006"	"Unmarried"	"2"	"16 years and over"	"16+"	1172
	"Alabama"	"01"	"2006"	"2006"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	130
	"Alaska"	"02"	"2003"	"2003"	"Married"	"1"	"0 -  8 years"	"19176"	67
	"Alaska"	"02"	"2003"	"2003"	"Married"	"1"	"9 - 11 years"	"19177"	383
	"Alaska"	"02"	"2003"	"2003"	"Married"	"1"	"12 years"	"19178"	2301
	"Alaska"	"02"	"2003"	"2003"	"Married"	"1"	"13 - 15 years"	"19179"	1975
	"Alaska"	"02"	"2003"	"2003"	"Married"	"1"	"16 years and over"	"16+"	1627
	"Alaska"	"02"	"2003"	"2003"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	246
	"Alaska"	"02"	"2003"	"2003"	"Unmarried"	"2"	"0 -  8 years"	"19176"	99
	"Alaska"	"02"	"2003"	"2003"	"Unmarried"	"2"	"9 - 11 years"	"19177"	846
	"Alaska"	"02"	"2003"	"2003"	"Unmarried"	"2"	"12 years"	"19178"	1662
	"Alaska"	"02"	"2003"	"2003"	"Unmarried"	"2"	"13 - 15 years"	"19179"	583
	"Alaska"	"02"	"2003"	"2003"	"Unmarried"	"2"	"16 years and over"	"16+"	152
	"Alaska"	"02"	"2003"	"2003"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	145
	"Alaska"	"02"	"2004"	"2004"	"Married"	"1"	"0 -  8 years"	"19176"	63
	"Alaska"	"02"	"2004"	"2004"	"Married"	"1"	"9 - 11 years"	"19177"	357
	"Alaska"	"02"	"2004"	"2004"	"Married"	"1"	"12 years"	"19178"	2319
	"Alaska"	"02"	"2004"	"2004"	"Married"	"1"	"13 - 15 years"	"19179"	1923
	"Alaska"	"02"	"2004"	"2004"	"Married"	"1"	"16 years and over"	"16+"	1606
	"Alaska"	"02"	"2004"	"2004"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	493
	"Alaska"	"02"	"2004"	"2004"	"Unmarried"	"2"	"0 -  8 years"	"19176"	88
	"Alaska"	"02"	"2004"	"2004"	"Unmarried"	"2"	"9 - 11 years"	"19177"	847
	"Alaska"	"02"	"2004"	"2004"	"Unmarried"	"2"	"12 years"	"19178"	1749
	"Alaska"	"02"	"2004"	"2004"	"Unmarried"	"2"	"13 - 15 years"	"19179"	571
	"Alaska"	"02"	"2004"	"2004"	"Unmarried"	"2"	"16 years and over"	"16+"	121
	"Alaska"	"02"	"2004"	"2004"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	201
	"Alaska"	"02"	"2005"	"2005"	"Married"	"1"	"0 -  8 years"	"19176"	57
	"Alaska"	"02"	"2005"	"2005"	"Married"	"1"	"9 - 11 years"	"19177"	393
	"Alaska"	"02"	"2005"	"2005"	"Married"	"1"	"12 years"	"19178"	2444
	"Alaska"	"02"	"2005"	"2005"	"Married"	"1"	"13 - 15 years"	"19179"	2110
	"Alaska"	"02"	"2005"	"2005"	"Married"	"1"	"16 years and over"	"16+"	1518
	"Alaska"	"02"	"2005"	"2005"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	169
	"Alaska"	"02"	"2005"	"2005"	"Unmarried"	"2"	"0 -  8 years"	"19176"	89
	"Alaska"	"02"	"2005"	"2005"	"Unmarried"	"2"	"9 - 11 years"	"19177"	951
	"Alaska"	"02"	"2005"	"2005"	"Unmarried"	"2"	"12 years"	"19178"	1846
	"Alaska"	"02"	"2005"	"2005"	"Unmarried"	"2"	"13 - 15 years"	"19179"	602
	"Alaska"	"02"	"2005"	"2005"	"Unmarried"	"2"	"16 years and over"	"16+"	150
	"Alaska"	"02"	"2005"	"2005"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	130
	"Alaska"	"02"	"2006"	"2006"	"Married"	"1"	"0 -  8 years"	"19176"	69
	"Alaska"	"02"	"2006"	"2006"	"Married"	"1"	"9 - 11 years"	"19177"	386
	"Alaska"	"02"	"2006"	"2006"	"Married"	"1"	"12 years"	"19178"	2565
	"Alaska"	"02"	"2006"	"2006"	"Married"	"1"	"13 - 15 years"	"19179"	2136
	"Alaska"	"02"	"2006"	"2006"	"Married"	"1"	"16 years and over"	"16+"	1628
	"Alaska"	"02"	"2006"	"2006"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	165
	"Alaska"	"02"	"2006"	"2006"	"Unmarried"	"2"	"0 -  8 years"	"19176"	101
	"Alaska"	"02"	"2006"	"2006"	"Unmarried"	"2"	"9 - 11 years"	"19177"	974
	"Alaska"	"02"	"2006"	"2006"	"Unmarried"	"2"	"12 years"	"19178"	1973
	"Alaska"	"02"	"2006"	"2006"	"Unmarried"	"2"	"13 - 15 years"	"19179"	687
	"Alaska"	"02"	"2006"	"2006"	"Unmarried"	"2"	"16 years and over"	"16+"	150
	"Alaska"	"02"	"2006"	"2006"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	162
	"Arizona"	"04"	"2003"	"2003"	"Married"	"1"	"0 -  8 years"	"19176"	3667
	"Arizona"	"04"	"2003"	"2003"	"Married"	"1"	"9 - 11 years"	"19177"	6118
	"Arizona"	"04"	"2003"	"2003"	"Married"	"1"	"12 years"	"19178"	13876
	"Arizona"	"04"	"2003"	"2003"	"Married"	"1"	"13 - 15 years"	"19179"	13163
	"Arizona"	"04"	"2003"	"2003"	"Married"	"1"	"16 years and over"	"16+"	15632
	"Arizona"	"04"	"2003"	"2003"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	749
